ssn,last_updated,created
100-53-9824,2017-10-07T00:14:42Z,2016-01-24T21:19:30Z
101-71-4702,2017-01-23T11:23:17Z,2016-01-27T04:32:57Z
101-84-0356,2017-10-04T11:21:30Z,2016-09-21T23:04:07Z
104-22-0928,2017-03-28T12:38:29Z,2016-04-15T11:37:17Z
104-84-7144,2018-02-19T01:34:33Z,2016-03-15T14:07:57Z
105-27-5541,2017-07-24T08:58:52Z,2016-07-23T17:58:35Z
105-85-7486,2018-02-14T11:32:39Z,2016-12-15T05:46:43Z
105-91-5022,2018-03-24T14:29:33Z,2016-03-24T03:43:03Z
105-91-7777,2017-05-11T01:48:32Z,2016-05-31T00:38:13Z
106-35-1938,2017-10-21T01:07:28Z,2016-09-08T04:02:12Z
106-36-3293,2017-03-18T18:24:17Z,2016-05-16T21:21:36Z
110-84-3641,2017-09-04T19:02:03Z,2016-09-12T22:50:05Z
111-35-1034,2017-03-18T14:51:04Z,2016-08-21T07:36:17Z
114-06-6912,2018-02-05T20:48:34Z,2016-07-15T21:58:03Z
114-66-0984,2017-06-16T17:41:33Z,2016-05-28T20:31:25Z
114-74-8701,2017-10-30T23:54:38Z,2016-06-04T05:18:03Z
116-10-7235,2017-03-10T00:31:43Z,2016-10-17T02:11:26Z
116-77-4915,2017-11-21T14:25:11Z,2016-07-03T03:55:39Z
117-39-6617,2017-09-01T11:58:21Z,2016-12-01T10:11:17Z
117-77-9748,2017-02-18T23:09:25Z,2016-02-02T15:41:42Z
117-78-6202,2017-11-02T02:26:10Z,2016-04-18T00:25:01Z
118-21-0357,2017-12-13T09:36:48Z,2016-10-24T03:40:22Z
118-95-7100,2017-04-25T07:54:46Z,2016-01-29T12:05:28Z
119-07-8817,2017-12-24T15:31:05Z,2016-12-06T14:16:59Z
120-33-5535,2017-11-11T08:53:11Z,2016-07-10T20:49:00Z
120-98-4054,2017-12-01T17:30:55Z,2016-07-23T15:52:53Z
121-98-3948,2017-08-23T16:00:57Z,2016-06-26T23:46:48Z
123-05-3229,2017-08-16T12:08:06Z,2016-10-23T13:32:13Z
123-62-2832,2017-09-11T00:02:44Z,2016-10-22T16:14:05Z
123-88-3381,2017-02-21T16:37:38Z,2016-01-30T23:42:36Z
125-07-9434,2017-02-07T14:36:31Z,2016-07-08T17:46:23Z
127-49-2473,2017-08-31T10:03:03Z,2016-08-29T18:48:40Z
127-52-8001,2017-01-12T09:42:31Z,2016-10-09T01:14:36Z
127-68-4232,2017-03-20T06:05:42Z,2016-08-19T16:32:21Z
127-93-3548,2017-09-10T06:24:19Z,2016-07-23T01:30:03Z
128-42-4599,2017-01-29T20:31:15Z,2016-07-13T09:52:36Z
128-53-0369,2017-08-10T21:18:00Z,2016-12-19T21:37:06Z
128-53-7952,2017-08-31T16:42:23Z,2016-07-29T03:46:26Z
128-56-6040,2017-08-13T02:47:15Z,2016-03-21T08:59:56Z
128-60-4388,2017-01-03T20:33:45Z,2016-03-18T11:18:14Z
129-67-0291,2017-02-11T10:18:21Z,2016-12-12T05:01:34Z
131-81-4310,2018-03-21T12:02:31Z,2016-02-03T23:26:27Z
132-26-3507,2017-01-19T07:33:37Z,2016-05-20T01:41:54Z
134-05-0120,2017-01-29T11:53:22Z,2016-08-03T04:54:40Z
135-86-9625,2017-12-22T04:04:28Z,2016-02-28T23:53:17Z
137-13-1889,2017-12-24T09:44:10Z,2016-03-01T19:09:29Z
138-65-4579,2017-04-17T16:30:02Z,2016-12-17T07:07:47Z
138-67-1198,2018-03-04T08:14:31Z,2016-09-24T01:52:46Z
138-88-5288,2017-02-24T15:47:36Z,2016-01-04T09:37:53Z
139-04-8189,2017-02-16T21:23:10Z,2016-05-24T04:10:50Z
139-94-5865,2017-08-19T16:22:52Z,2016-09-10T21:09:28Z
139-99-6417,2018-01-17T17:51:12Z,2016-12-21T14:14:20Z
140-33-9727,2017-09-21T23:04:48Z,2016-01-27T09:02:26Z
140-58-8263,2017-11-12T21:41:50Z,2016-12-14T20:27:22Z
141-15-0543,2017-09-27T10:29:09Z,2016-07-17T22:40:37Z
141-88-9721,2018-01-24T20:00:04Z,2016-12-20T00:43:43Z
142-77-4616,2017-07-16T15:12:37Z,2016-07-30T13:28:38Z
142-87-3416,2017-05-03T14:26:58Z,2016-12-26T21:18:54Z
143-17-4714,2017-07-21T18:54:47Z,2016-02-09T06:10:21Z
145-10-8454,2017-01-18T06:37:31Z,2016-04-25T21:45:00Z
145-35-5124,2018-02-20T12:47:43Z,2016-10-03T05:18:06Z
145-78-3985,2017-06-10T06:21:46Z,2016-09-23T15:35:52Z
146-81-3446,2017-01-18T08:40:14Z,2016-09-01T08:59:50Z
147-33-1463,2018-02-09T04:41:58Z,2016-05-31T23:38:59Z
147-47-8577,2017-04-02T18:37:59Z,2016-12-11T03:05:36Z
147-63-3462,2018-02-02T13:16:51Z,2016-07-17T04:28:52Z
148-60-7519,2017-01-22T22:15:37Z,2016-04-29T08:42:29Z
149-18-7272,2017-08-31T02:41:41Z,2016-10-21T12:17:57Z
149-45-6482,2017-09-02T05:13:32Z,2016-02-23T16:20:59Z
150-64-6357,2018-02-14T23:35:53Z,2016-01-28T03:19:50Z
150-89-3343,2017-06-04T01:39:16Z,2016-04-23T14:07:49Z
151-54-3946,2018-02-08T11:16:12Z,2016-10-19T08:22:59Z
151-70-0641,2017-02-13T21:31:15Z,2016-04-28T08:28:43Z
151-78-1397,2017-07-08T04:22:30Z,2016-06-11T00:28:10Z
152-71-3526,2018-02-25T04:17:50Z,2016-10-08T19:49:04Z
153-67-1309,2017-08-16T12:03:37Z,2016-12-22T19:37:39Z
154-17-7912,2017-04-19T22:08:24Z,2016-01-29T12:43:45Z
156-18-7547,2017-09-10T22:58:31Z,2016-10-20T19:49:24Z
156-91-6848,2017-08-30T22:29:10Z,2016-05-07T06:45:32Z
157-17-9982,2017-04-17T09:11:49Z,2016-03-17T00:22:29Z
157-38-7090,2017-03-24T08:58:33Z,2016-09-15T16:11:12Z
157-51-5269,2017-11-04T20:16:50Z,2016-06-17T10:03:02Z
161-36-9710,2017-07-03T06:26:41Z,2016-06-09T05:30:33Z
161-53-4778,2017-12-03T11:09:18Z,2016-12-09T18:37:55Z
163-68-8070,2017-09-06T16:56:06Z,2016-10-23T01:47:51Z
163-98-1022,2017-03-26T04:02:28Z,2016-03-22T11:24:33Z
164-11-9849,2017-06-24T10:17:58Z,2016-04-20T11:09:05Z
166-10-4488,2017-08-14T16:48:43Z,2016-07-02T08:33:48Z
167-39-2377,2017-10-31T22:27:07Z,2016-02-03T10:32:01Z
168-02-5324,2018-01-04T21:50:39Z,2016-01-29T15:31:40Z
168-19-8754,2017-06-10T03:48:51Z,2016-09-27T15:04:24Z
168-81-0838,2017-02-11T14:12:16Z,2016-09-19T20:05:07Z
168-89-6661,2017-07-17T02:59:15Z,2016-04-30T09:17:39Z
170-65-3388,2017-03-05T00:46:26Z,2016-06-15T05:37:27Z
171-27-7781,2017-03-05T09:35:08Z,2016-09-23T03:10:37Z
172-23-7739,2018-03-02T23:30:36Z,2016-05-12T16:01:48Z
172-77-4263,2017-10-11T13:32:41Z,2016-09-10T09:18:50Z
172-89-7546,2017-01-25T02:11:06Z,2016-07-24T12:57:57Z
173-99-7372,2018-03-03T15:18:26Z,2016-10-26T15:24:37Z
174-13-2047,2017-01-28T14:24:40Z,2016-01-12T16:53:59Z
174-35-3812,2017-01-25T11:34:25Z,2016-05-14T04:55:35Z
174-51-9992,2017-03-03T19:42:18Z,2016-05-17T23:32:25Z
174-87-2537,2017-09-30T14:38:36Z,2016-08-01T11:19:25Z
176-82-1359,2017-01-14T13:36:01Z,2016-11-29T19:03:42Z
176-99-5851,2017-04-01T20:14:53Z,2016-12-03T15:08:04Z
