ssn,vehicle_make,vehicle_model,model_year
100-53-9824,Oldsmobile,Bravada,1993
101-71-4702,Ford,Mustang,1997
101-84-0356,GMC,Yukon,2005
104-22-0928,Oldsmobile,Intrigue,2000
104-84-7144,Ford,Crown Victoria,2008
105-27-5541,Ford,Mustang,2001
105-85-7486,Chrysler,300,2008
105-91-5022,Isuzu,Hombre Space,2000
105-91-7777,Chevrolet,Silverado 3500,2004
106-35-1938,GMC,Sonoma Club,1992
106-36-3293,Volkswagen,Touareg,2008
110-84-3641,Ford,Mustang,1990
111-35-1034,Ford,Fiesta,2001
114-06-6912,Aston Martin,DBS,2011
114-66-0984,Chevrolet,Camaro,1998
114-74-8701,Mercedes-Benz,CL65 AMG,2009
116-10-7235,Bugatti,Veyron,2009
116-77-4915,Buick,Rainier,2004
117-39-6617,Scion,tC,2008
117-77-9748,Audi,S6,2009
117-78-6202,Rolls-Royce,Phantom,2007
118-21-0357,GMC,3500 Club Coupe,1992
118-95-7100,Plymouth,Laser,1993
119-07-8817,Chevrolet,Colorado,2005
120-33-5535,Isuzu,Trooper,1997
120-98-4054,Acura,RL,2003
121-98-3948,Pontiac,Montana,2002
123-05-3229,Jaguar,X-Type,2003
123-62-2832,Cadillac,Catera,1999
123-88-3381,Ford,Mustang,1989
125-07-9434,Lexus,RX,2010
127-49-2473,GMC,Savana 3500,2004
127-52-8001,Porsche,Cayenne,2008
127-68-4232,Scion,xB,2004
127-93-3548,Jeep,Grand Cherokee,2007
128-42-4599,Chevrolet,Avalanche 1500,2006
128-53-0369,Audi,A4,2010
128-53-7952,Dodge,Neon,1995
128-56-6040,BMW,M,2001
128-60-4388,Buick,Skyhawk,1988
129-67-0291,Lotus,Esprit,1993
131-81-4310,Land Rover,Range Rover Sport,2012
132-26-3507,Dodge,Ramcharger,1992
134-05-0120,BMW,M5,2006
135-86-9625,Toyota,Tundra,2004
137-13-1889,Infiniti,G,2005
138-65-4579,Oldsmobile,Achieva,1992
138-67-1198,Lexus,RX,2003
138-88-5288,Mercury,Monterey,2004
139-04-8189,Ford,Escort,1997
139-94-5865,Volkswagen,Cabriolet,1990
139-99-6417,Volvo,V70,2002
140-33-9727,Mitsubishi,Lancer,2003
140-58-8263,Volvo,XC90,2009
141-15-0543,Toyota,Corolla,2000
141-88-9721,GMC,Savana 3500,2011
142-77-4616,Chevrolet,Prizm,1999
142-87-3416,Ford,Thunderbird,2005
143-17-4714,Nissan,Frontier,1999
145-10-8454,GMC,Savana 1500,1999
145-35-5124,GMC,Savana 1500,1999
145-78-3985,Mercedes-Benz,E-Class,1993
146-81-3446,Ford,Thunderbird,1988
147-33-1463,GMC,Vandura G1500,1995
147-47-8577,Mitsubishi,GTO,1996
147-63-3462,Ford,Explorer,2005
148-60-7519,Mitsubishi,RVR,1992
149-18-7272,Mercedes-Benz,500SEL,1992
149-45-6482,GMC,3500 Club Coupe,1995
150-64-6357,Cadillac,Escalade,2000
150-89-3343,Plymouth,Laser,1993
151-54-3946,Ford,Probe,1996
151-70-0641,Ford,F250,1999
151-78-1397,BMW,M5,2000
152-71-3526,GMC,Savana 3500,2001
153-67-1309,Ford,Taurus,1998
154-17-7912,Nissan,Armada,2005
156-18-7547,Subaru,Legacy,2011
156-91-6848,Acura,TL,2005
157-17-9982,Audi,Q7,2007
157-38-7090,Dodge,Dakota Club,2005
157-51-5269,BMW,Z3,1996
161-36-9710,Mercedes-Benz,SLK-Class,1999
161-53-4778,Ford,Mustang,1995
163-68-8070,Lincoln,Continental,1998
163-98-1022,Honda,Civic,2012
164-11-9849,Chevrolet,Corvette,2001
166-10-4488,Cadillac,DTS,2008
167-39-2377,GMC,3500,1998
168-02-5324,Volkswagen,Fox,1989
168-19-8754,Toyota,MR2,1993
168-81-0838,Mazda,Mazda5,2012
168-89-6661,Chevrolet,Corvette,1964
170-65-3388,Dodge,Caravan,2010
171-27-7781,Ford,Mustang,1985
172-23-7739,Mazda,Mazdaspeed 3,2011
172-77-4263,Volvo,S60,2002
172-89-7546,Mercury,Cougar,1969
173-99-7372,Kia,Sephia,1997
174-13-2047,Mitsubishi,L300,1988
174-35-3812,Ford,Thunderbird,1972
174-51-9992,Chevrolet,Beretta,1994
174-87-2537,Ford,Taurus,1991
176-82-1359,Toyota,Celica,1995
176-99-5851,Jeep,Commander,2007
179-88-2790,Chevrolet,Malibu,2013
181-07-4434,Chevrolet,Impala SS,1995
181-28-8337,GMC,Canyon,2004
181-88-6077,Suzuki,XL-7,2008
182-15-5082,Mercedes-Benz,S-Class,1988
182-81-4541,Jeep,Grand Cherokee,1997
183-10-5024,Maserati,Spyder,1991
184-60-6243,Ford,Mustang,1998
184-84-1003,Mercury,Mystique,1997
184-92-3560,Scion,xD,2011
184-94-5241,Audi,90,1991
185-50-0434,Suzuki,X-90,1998
185-84-9868,Mercury,Sable,2001
186-65-7773,Mitsubishi,Precis,1990
188-20-9317,Chevrolet,Avalanche 2500,2003
188-40-4336,Mercedes-Benz,E-Class,1985
189-26-5696,BMW,8 Series,1995
189-49-1458,Volkswagen,Touareg,2008
190-05-6987,Subaru,Legacy,1990
190-53-4517,Hyundai,Sonata,1993
191-15-3194,Mercury,Grand Marquis,2009
192-54-0695,Volvo,C70,1998
192-67-3201,Mitsubishi,Galant,1999
194-76-5816,Dodge,Dakota,2001
195-23-5731,Saturn,Outlook,2007
196-69-3796,Subaru,Legacy,2007
198-70-6443,Infiniti,QX,2005
199-45-0804,Suzuki,XL-7,2003
